round,Date,matchID,ballPosession,corners,freekicks,offsides,score,shotsOnGoal,Teams_teamID,home,team_name,GroupName
6,2020-12-08,86,60x40,6x2,10x21,1x1,1x1,5x2,19,0,Krasnodar,E
1,2020-10-20,3,60x40,3x2,10x22,0x3,1x1,7x3,20,0,Rennes,E
2,2020-10-28,27,62x38,11x0,19x20,6x0,1x0,7x2,20,0,Rennes,E
3,2020-11-04,47,57x43,2x3,9x16,4x3,3x0,4x2,20,0,Rennes,E
4,2020-11-24,49,51x49,11x3,11x13,0x2,1x2,5x5,20,1,Rennes,E
5,2020-12-02,73,45x55,10x7,22x11,0x0,1x0,3x5,20,0,Rennes,E
6,2020-12-08,83,50x50,10x2,11x18,1x2,1x3,6x5,20,1,Rennes,E
1,2020-10-20,6,39x61,7x6,8x9,4x0,3x1,5x7,21,0,Dortmund,F
2,2020-10-28,31,65x35,8x1,7x8,1x2,2x0,6x0,21,1,Dortmund,F
3,2020-11-04,46,50x50,3x3,7x16,4x0,0x3,4x6,21,0,Dortmund,F
4,2020-11-24,56,51x49,9x0,14x12,1x2,3x0,8x0,21,1,Dortmund,F
5,2020-12-02,79,53x47,1x6,7x6,0x1,1x1,4x6,21,1,Dortmund,F
6,2020-12-08,81,45x55,6x8,14x13,5x1,1x2,4x6,21,0,Dortmund,F
1,2020-10-20,6,39x61,7x6,8x9,4x0,3x1,5x7,22,1,Lazio,F
2,2020-10-28,32,58x42,7x2,12x20,1x0,1x1,3x3,22,0,Lazio,F
3,2020-11-04,41,48x52,3x3,9x20,5x0,1x1,2x3,22,0,Lazio,F
4,2020-11-24,53,48x52,6x2,12x9,2x0,3x1,7x5,22,1,Lazio,F
5,2020-12-02,79,53x47,1x6,7x6,0x1,1x1,4x6,22,0,Lazio,F
6,2020-12-08,82,52x48,2x4,15x13,1x1,2x2,8x3,22,1,Lazio,F
1,2020-10-20,1,51x49,8x4,13x15,0x3,1x2,3x3,23,0,"Club Brugge Kv",F
2,2020-10-28,32,58x42,7x2,12x20,1x0,1x1,3x3,23,1,"Club Brugge Kv",F
3,2020-11-04,46,50x50,3x3,7x16,4x0,0x3,4x6,23,1,"Club Brugge Kv",F
4,2020-11-24,56,51x49,9x0,14x12,1x2,3x0,8x0,23,0,"Club Brugge Kv",F
